,Model Type,Starbucks - Full US,Walmart - Full US
0,Multiple Regression,0.001042388284388962,0.002588889491359825
1,SVR,-0.057316912949290755,-0.06411462823997804
2,Decision Tree Regression,-0.8749264060801105,-0.9157130567558227
3,Random Forest Regression,-0.03377624623382247,-0.04004944747837613
