,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Walmart Store Count
7,617,0.026309333987489268,0.010476190476190476,0.04197872742148656,1.0
30,12866,0.2456639313688922,0.2508275101140125,0.09716410971641097,1.0
37,12883,0.16090961427748993,-0.07532667179093006,-0.09487111347329259,1.0
42,12901,0.14517640444173735,0.07604562737642585,-0.009953614224971008,1.0
75,12946,0.24789636413447613,-0.01222774168895682,-0.17213955874807593,0.0
78,12953,0.153310676198289,0.18203592814371258,-0.03633598107148893,1.0
114,13021,0.12057644381839852,0.17920148560817084,0.0010937329104232746,1.0
121,13031,0.10863233657115845,0.05423728813559322,0.04435790273556231,1.0
122,13032,0.055351146674287345,0.24426719840478564,-0.0913538232478996,0.0
126,13036,0.1214852711289766,0.049825174825174824,0.11557702259789546,1.0
128,13039,0.22081862238391214,0.07442151344590368,0.023829933139036516,1.0
130,13041,0.1754602515954513,0.07764876632801161,0.13817097415506957,0.0
133,13045,0.18744228993536471,0.19939577039274925,-0.013994402239104359,1.0
138,13057,0.13451304380186818,0.0378657487091222,-0.039512555391432794,1.0
144,13066,0.01261257199535623,0.19938493080471553,0.04976110010488288,0.0
146,13069,0.1761143070950844,0.06973848069738481,0.022654122307501856,1.0
161,13090,0.06529583595853142,0.07038327526132404,0.02204101803805288,1.0
181,13126,0.09034663954572421,0.16021505376344086,0.027761180309785357,1.0
208,13165,0.171158311851552,0.09553349875930521,0.012056262558606833,1.0
211,13202,0.18357221609702315,0.9183673469387755,0.2265210608424337,0.0
219,13210,0.06523171535251482,0.2144702842377261,-0.0240639137549331,0.0
224,13219,0.09970435675465152,0.06163828061638281,0.007999264435454212,0.0
225,13224,0.09008348919268072,0.12292118582791034,-0.04375908283545939,0.0
226,13290,0.15048155798881507,0.10154091682003419,,0.0
268,13350,0.5295843983716747,0.09842041312272175,0.055967327181969444,1.0
279,13365,0.19411287518831846,0.15,-0.0377297121483168,0.0
280,13367,0.21823875110616958,0.19059613769941225,0.032038661177734025,1.0
291,13413,0.16777422001963024,0.03916614024005054,0.015531660692951015,1.0
297,13421,0.13093870954021522,0.05690298507462686,-0.030984763268227834,1.0
308,13440,0.07091397089984461,0.12933753943217666,-0.019824742611535003,1.0
335,13490,-0.02895456868817463,0.6518254674977738,0.26941176470588235,0.0
342,13502,0.008909392696738919,0.056338028169014086,-0.03915743991358358,1.0
343,13601,0.10980886268543172,0.13485804416403785,0.011777301927194861,1.0
344,13602,-0.19808204581779434,0.10154091682003419,-0.11412429378531073,0.0
371,13637,0.2049510387114487,0.2662929222144359,0.12201963534361851,1.0
391,13662,0.14272043745727955,0.02804878048780488,-0.031005797832114948,1.0
397,13669,0.20076267384477345,0.10784313725490197,-0.01814700740864064,1.0
403,13676,0.1963177049882252,0.18415841584158416,0.2736746714997734,1.0
454,13790,0.1489914425427873,0.06077981651376147,-0.08766330166270783,1.0
471,13815,0.2217741935483871,0.02558139534883721,-0.07047151477958474,1.0
472,13820,0.2479254436358994,0.053418803418803416,-0.012758251707959503,1.0
491,13850,0.02049463310526646,0.04065620542082739,-0.0699791390100512,1.0
504,13905,0.21022088536444566,0.14060860440713535,-0.02239559946115851,0.0
517,659,-0.03619655964587886,-0.07608695652173914,0.04611738971928545,1.0
519,662,0.26036240921429094,0.03804878048780488,-0.024470491466173146,1.0
524,674,0.13245696769629806,-0.02181818181818182,-0.04654768467475193,1.0
528,680,0.004912230007946255,0.032036613272311214,-0.14064143716451324,1.0
551,725,0.04925268331828669,-0.04189294026377036,-0.054095364678518026,1.0
553,728,0.019155653057948526,-0.08309990662931839,-0.037523917511161506,1.0
554,729,-0.08358156649728404,-0.06694915254237288,0.0590684439119365,1.0
558,736,0.04477611940298507,0.11988582302568981,0.009229761514871825,1.0
559,738,-0.07718647453274362,-0.04716981132075472,-0.08714322894074782,1.0
566,757,0.002215783194136697,-0.01702127659574468,0.029306093694963016,1.0
577,780,-0.07597778115964085,-0.11325724319578578,-0.11580861461529719,1.0
580,784,-0.11685286175676392,-0.031487513572204126,-0.031558323420334475,1.0
582,791,0.010104618525133963,-0.14109347442680775,-0.028886301019683584,1.0
587,907,0.08520106010535615,-0.08599111828825191,0.04287937743190662,1.0
604,949,0.08075348075348075,0.017054263565891473,-0.036267303458826165,1.0
613,961,-0.05517442236748431,-0.03841309823677582,-0.0131493011712457,1.0
625,987,0.05612734130281915,-0.06017925736235595,-0.007815870276854367,1.0
637,1020,0.16347287441302827,-0.024572649572649572,0.01809789314930762,1.0
648,1035,-0.1465484046578944,0.048299968223705116,0.09093284557094329,1.0
653,1040,0.19876160990712075,-0.0026399155227032735,0.03127654645146343,0.0
657,1056,0.1869377533199328,0.024877832074633496,0.03450754852624011,0.0
659,1060,0.26798352170698214,0.11383709519136408,0.05338260958833795,1.0
675,1082,0.04590968839403078,-0.07276208712302537,0.05671232876712329,1.0
678,1085,0.18474519817919396,0.011042402826855124,0.022576907262736888,1.0
697,1119,-0.03846908734052993,0.04206241519674356,-0.03939666816749212,1.0
702,1201,0.09370155467954112,-0.023529411764705882,-0.011994547932757837,1.0
720,1247,0.05148390342052314,-0.003282994090610637,-0.014244483753840425,1.0
736,1331,0.07301873334084169,-0.11572535991140642,0.07485096047692648,0.0
753,1364,0.035802772259547776,-0.04281524926686217,0.02107686857952533,1.0
770,1440,0.04286544609125254,-0.08472012102874432,0.025626779637474825,1.0
774,1453,-0.011782882561673372,-0.05575467941059339,0.035509452665864194,1.0
775,1460,0.16628318412962353,0.1034919028340081,0.18002011397921555,0.0
776,1462,0.21911967813607158,-0.03836065573770492,0.13280363223609534,1.0
800,1524,-0.010715124066223885,-0.10181159420289855,0.057658058771148706,1.0
