,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Walmart Store Count
0,601,-0.01696951494218351,-0.16472868217054262,0.009723643807574206,0.0
1,602,0.0944002140897839,-0.0335946248600224,-0.0007655293088363954,0.0
2,603,0.15003116991064624,0.04884318766066838,-0.05933691953013503,0.0
3,606,0.1503361721201255,-0.09306930693069307,0.1183754333828628,0.0
4,610,0.17975193987902488,-0.19012797074954296,-0.007149518184644078,0.0
5,612,0.015196379686015978,-0.022,-0.09387545912701803,0.0
6,616,0.034019753405203024,-0.014358974358974359,0.07184546970539188,0.0
7,617,0.026309333987489268,0.010476190476190476,0.04197872742148656,1.0
8,622,0.28093673658495494,0.051053484602917344,0.2544610119775116,0.0
9,623,0.007238755181587577,-0.02643171806167401,-0.01262434317062692,0.0
10,624,0.21436960276338515,-0.07785888077858881,-0.03849557522123894,0.0
11,627,-0.00402390674004379,0.11830357142857142,-0.017284808477373403,0.0
12,631,-0.08626710712600283,-0.12136929460580913,-0.06933744221879815,0.0
13,637,0.09648724108824103,0.030949839914621132,-0.041830532713621735,0.0
14,638,0.06080648602517602,-0.06875631951466127,-0.03378154050464807,0.0
15,641,0.19528859155931963,-0.05942622950819672,-0.03669588471252414,0.0
16,646,0.05844554348218476,-0.02803083391730904,0.038138701002363294,0.0
17,12852,-0.008271019695737548,0.09649122807017543,-0.0728643216080402,0.0
18,12853,0.1648837031174203,-0.08717660292463442,0.14990138067061143,0.0
19,12855,-0.10672004821559258,-0.15229485396383866,0.5071428571428571,0.0
20,12856,0.10166486486486487,-0.5012666244458518,0.09401709401709402,0.0
21,12857,0.15354233989077234,0.03359173126614987,0.26330532212885155,0.0
22,12858,3.107142857142857,1.4721095334685599,0.6865671641791045,0.0
23,12859,0.03828412612953451,0.0633315593400745,0.00909090909090909,0.0
24,12860,0.4871160220994475,-0.10912571793235482,-0.23476702508960573,0.0
25,12861,0.05651438946511676,-0.053426248548199766,0.15217391304347827,0.0
26,12862,0.15048155798881507,0.10154091682003419,inf,0.0
27,12863,1.05454,0.3552568410945751,0.09268292682926829,0.0
28,12864,-0.08381816606669347,-0.5397145857351254,-0.4782608695652174,0.0
29,12865,0.0890009073495312,0.016911764705882352,0.03284950343773873,0.0
30,12866,0.2456639313688922,0.2508275101140125,0.09716410971641097,1.0
31,12870,0.13137329541637743,0.22023121387283237,-0.1901462663587375,0.0
32,12871,0.23527094608481194,-0.004524886877828055,0.03814321698452681,0.0
33,12872,0.7853513971210838,0.022399603834800167,-0.28,0.0
34,12873,0.19388571428571427,0.009392265193370166,0.053691275167785234,0.0
35,12874,-0.19281419376693767,0.010363707469691045,0.03424657534246575,0.0
36,12878,0.3358758485044734,0.08609794628751975,-0.32625994694960214,0.0
37,12883,0.16090961427748993,-0.07532667179093006,-0.09487111347329259,1.0
38,12884,0.4849423022797636,0.13494191242180517,0.10897435897435898,0.0
39,12885,0.050505050505050504,0.07510729613733906,0.08135372600065083,0.0
40,12886,-0.06577702372018662,1.9749639848587535,0.2925531914893617,0.0
41,12887,0.1732724676560945,0.14791666666666667,-0.18445878848063554,0.0
42,12901,0.14517640444173735,0.07604562737642585,-0.009953614224971008,1.0
43,12903,0.20893913898394811,0.10218408736349453,0.2798459563543004,0.0
44,12910,0.08841576591330931,-0.09782608695652174,-0.1752136752136752,0.0
45,12911,-0.05170396909251716,-0.37237856577495976,-0.48484848484848486,0.0
46,12912,0.38716322183469487,-0.047736625514403296,-0.14956521739130435,0.0
47,12913,0.18257881658642647,0.055266579973992196,0.138996138996139,0.0
48,12914,0.463426056008242,-0.06580645161290323,0.2888402625820569,0.0
49,12916,0.5546594515843697,0.5971223021582733,0.10808767951625095,0.0
50,12917,0.09186198864463532,0.07778915046059365,0.09987819732034105,0.0
51,12918,0.036274829045913386,0.18135593220338983,-0.025204359673024524,0.0
52,12919,-0.04912676056338028,-0.046875,-0.0174042764793635,0.0
53,12920,0.14052266666666666,0.021714285714285714,-0.11283643892339544,0.0
54,12921,0.44819187801133054,-0.1527035056446821,0.1125078566939032,0.0
55,12922,-0.1641567727576523,0.70242656449553,0.13333333333333333,0.0
56,12923,0.06842105263157895,-0.029449423815621,0.06791569086651054,0.0
57,12924,1.3062730627306274,-0.2924994741463183,-0.3023255813953488,0.0
58,12926,0.20662670662670662,0.18319559228650137,0.34301856335754644,0.0
59,12927,-0.010909592170299916,-0.5282926829268293,0.4591194968553459,0.0
60,12928,0.13061274360070865,-0.18730553827006846,0.014814814814814815,0.0
61,12929,0.20477541371158392,0.061791967044284246,-0.0591016548463357,0.0
62,12930,0.222521900938761,0.3196022727272727,-0.0962962962962963,0.0
63,12932,0.03781675656796927,0.4299835255354201,-0.07338551859099804,0.0
64,12933,0.15048155798881507,0.10154091682003419,inf,0.0
65,12934,0.30415873878771404,0.1654320987654321,-0.004178272980501393,0.0
66,12935,0.29221117424242427,0.4982456140350877,-0.01903114186851211,0.0
67,12936,0.12149868111755101,0.1055,-0.16995073891625614,0.0
68,12937,0.033216980069811955,0.24397590361445784,0.30714285714285716,0.0
69,12939,0.18355443037974684,-0.21025260029717682,0.11214953271028037,0.0
70,12941,0.18684277553396644,-0.06886574074074074,0.24848484848484848,0.0
71,12942,0.5534222222222223,-0.014038876889848811,0.5743707093821511,0.0
72,12943,-0.24228738885209047,-0.1919079435783222,0.23954372623574144,0.0
73,12944,0.029139099483178152,-0.0416289592760181,0.001998667554963358,0.0
74,12945,0.8008006894826101,0.26851851851851855,0.18696883852691218,0.0
