,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Store Count
2470,7014,16.56,-6.95,2.65,1.0
2471,7016,15.94,0.85,1.31,2.0
2474,7020,17.03,3.85,-2.53,1.0
2478,7024,11.27,-9.45,0.66,1.0
2486,7033,20.32,-8.08,1.45,1.0
2492,7041,3.1,22.08,-1.29,1.0
2498,7047,16.01,-7.16,6.18,1.0
2505,7059,16.13,11.87,2.97,1.0
2514,7069,43.26,2.96,-4.89,1.0
2515,7070,14.97,1.68,2.64,1.0
2523,7078,9.3,36.44,3.92,2.0
2528,7083,13.87,-7.66,6.35,1.0
2535,7094,21.49,1.45,0.42,1.0
2536,7095,7.76,-7.08,5.54,1.0
2537,7102,0.15,-18.79,0.22,1.0
2556,7302,38.45,37.77,3.6,1.0
2561,7310,20.74,28.75,-4.4,1.0
2567,7410,20.67,-2.34,-1.05,1.0
2587,7450,9.42,5.2,0.38,1.0
2590,7457,25.94,-6.15,-2.51,1.0
2594,7462,10.97,-11.0,6.96,1.0
2597,7470,14.36,-7.12,2.39,3.0
2613,7601,16.2,-11.45,0.23,2.0
2615,7604,-2.78,-10.52,-3.72,1.0
2622,7624,11.08,-6.32,2.13,1.0
2632,7643,7.66,-14.64,2.62,1.0
2634,7645,10.32,-5.31,3.61,1.0
2640,7652,12.47,1.78,1.46,8.0
2641,7656,10.17,1.88,-0.89,1.0
2642,7657,14.52,-21.76,7.43,1.0
2649,7675,24.6,2.15,0.66,1.0
2653,7702,2.22,1.71,2.3,1.0
2657,7712,18.14,0.38,4.54,2.0
2661,7719,21.69,7.58,2.41,2.0
2666,7724,0.56,-1.73,3.09,1.0
2667,7726,7.25,2.2,2.58,1.0
2669,7728,7.08,-3.21,2.44,2.0
2671,7731,14.49,-5.56,5.88,1.0
2677,7738,19.29,-5.25,2.01,1.0
2684,7751,18.58,3.31,-0.19,1.0
2685,7753,16.98,-6.62,1.28,1.0
2686,7755,3.79,-4.44,4.69,1.0
2706,7834,9.99,-3.58,0.83,1.0
2709,7840,2.07,-11.71,0.31,1.0
2725,7866,10.18,-6.9,0.72,1.0
2742,7927,17.28,-1.0,-4.5,1.0
2743,7928,26.49,11.08,-0.57,1.0
2744,7930,-8.49,-7.4,5.19,1.0
2750,7936,14.79,2.17,-1.14,1.0
2756,7960,21.77,6.07,5.03,2.0
2759,7974,21.1,-0.96,-2.04,1.0
2766,8002,12.93,-9.91,-0.65,4.0
2769,8005,19.36,-8.98,-1.23,1.0
2776,8012,6.35,-11.44,4.19,3.0
2779,8016,18.98,-13.05,1.23,1.0
2792,8034,9.83,-12.02,1.76,2.0
2795,8037,18.53,-9.23,-0.84,1.0
2800,8043,16.47,-2.06,2.05,1.0
2805,8050,11.8,-11.83,0.95,1.0
2808,8053,6.88,-4.08,4.89,1.0
2809,8054,7.46,-2.24,0.86,2.0
2812,8057,30.98,1.85,2.69,1.0
2823,8069,20.14,-6.22,5.34,1.0
2834,8081,11.48,-11.62,5.18,2.0
2848,8096,1.69,-9.71,-0.27,2.0
2864,8205,-1.03,-18.37,4.03,1.0
2873,8226,23.84,-2.1,-0.63,1.0
2877,8240,15.05,10.15,86.29,1.0
2921,8401,-2.51,-26.12,0.44,1.0
2930,8512,9.97,12.11,-0.65,3.0
2943,8540,15.8,9.98,4.66,1.0
2961,8620,-0.04,-15.62,7.34,1.0
2967,8648,20.21,-6.92,5.44,3.0
2970,8701,20.73,13.5,-10.79,1.0
2977,8731,24.7,-3.95,-0.42,1.0
2991,8755,2.55,-9.93,5.84,1.0
2999,8807,14.08,4.46,0.76,2.0
3003,8812,1.34,-5.45,-1.42,1.0
3008,8822,8.2,-4.79,2.25,1.0
3016,8830,11.66,-11.82,6.67,1.0
3022,8837,15.93,1.65,0.98,2.0
3024,8844,15.38,1.75,3.86,1.0
3028,8852,9.63,5.54,-0.56,1.0
3030,8854,5.36,-9.37,-5.48,2.0
3036,8865,13.2,-11.07,3.57,2.0
3041,8876,9.26,-0.35,-0.27,1.0
3042,8879,4.09,-10.79,2.53,1.0
3048,8889,8.11,-1.44,1.11,1.0
3050,8901,4.09,-1.0,-3.95,1.0
3051,8902,16.92,3.51,2.67,1.0
3053,10001,30.58,-45.7,9.83,15.0
3054,10002,10.65,16.29,4.77,1.0
3055,10003,26.56,24.79,-2.94,10.0
3056,10004,23.69,85.0,7.11,6.0
3057,10005,47.04,41.54,0.73,6.0
3058,10006,57.91,42.62,-3.42,3.0
3059,10007,28.62,100.0,-1.03,5.0
3060,10009,11.27,-5.1,4.29,1.0
3061,10010,25.13,7.59,-4.28,9.0
3062,10011,29.0,8.28,0.61,8.0
3063,10012,41.47,66.94,-0.79,4.0
3064,10013,62.7,100.0,4.44,7.0
3065,10014,23.22,15.14,3.91,5.0
3066,10016,13.82,2.17,3.69,9.0
3067,10017,20.32,-7.11,2.72,18.0
3068,10018,28.36,-8.95,10.54,7.0
3069,10019,24.31,14.6,1.91,19.0
3071,10021,8.18,23.85,-1.03,4.0
3072,10022,23.48,8.57,1.89,14.0
3073,10023,23.93,26.48,1.55,9.0
