,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Store Count
6200,18321,-18.03,-16.19,20.86,1.0
6219,18344,6.74,-21.54,-0.99,1.0
6228,18355,62.13,1.03,8.26,1.0
6231,18360,8.4,-11.28,0.88,1.0
6238,18411,7.27,12.54,1.79,1.0
6265,18447,8.75,4.23,1.98,2.0
6270,18455,-15.82,-13.98,-14.37,1.0
6287,18503,-7.54,90.59,-12.31,1.0
6290,18507,-2.79,2.39,0.23,1.0
6293,18510,10.66,3.68,5.45,1.0
6297,18519,9.54,5.75,7.23,1.0
6309,18622,-24.52,145.66,-10.02,1.0
6334,18701,48.25,18.53,-11.26,1.0
6335,18702,14.39,-2.26,1.47,1.0
6375,18901,17.1,0.93,3.41,3.0
6376,18902,19.62,-3.14,5.74,1.0
6379,18914,8.61,0.52,6.53,1.0
6385,18929,0.73,-2.6,11.15,1.0
6390,18938,21.63,13.08,1.9,1.0
6391,18940,7.3,10.61,5.54,1.0
6396,18951,7.33,2.03,1.38,2.0
6402,18966,5.21,-1.4,1.21,1.0
6406,18974,14.32,-2.21,5.37,1.0
6407,18976,13.84,4.87,4.74,1.0
6410,19001,13.98,3.08,-0.03,2.0
6412,19003,32.64,7.78,-1.05,1.0
6413,19004,2.21,4.47,2.68,1.0
6414,19006,15.44,-3.3,-1.85,3.0
6416,19008,33.14,3.88,3.17,2.0
6418,19010,5.61,14.28,-1.58,1.0
6419,19012,19.09,-4.59,-0.87,1.0
6422,19015,5.53,-1.15,-0.67,1.0
6429,19025,24.21,5.75,6.48,1.0
6434,19031,9.71,-0.49,-1.95,2.0
6444,19044,26.97,2.82,1.37,1.0
6445,19046,28.89,6.02,-1.93,1.0
6446,19047,18.72,2.08,5.55,4.0
6448,19053,12.3,-1.93,0.4,2.0
6454,19061,-0.96,1.11,3.66,1.0
6455,19063,18.2,6.16,0.19,2.0
6456,19064,22.27,2.92,3.21,2.0
6458,19067,21.53,2.17,3.75,2.0
6461,19073,-3.65,2.42,1.36,2.0
6468,19082,8.52,-11.56,0.46,1.0
6469,19083,20.5,6.94,1.33,2.0
6470,19085,15.35,-3.72,-1.42,1.0
6472,19087,33.9,15.08,1.7,3.0
6473,19090,8.98,0.2,-1.43,2.0
6476,19096,20.19,13.46,1.83,2.0
6477,19102,38.12,50.56,2.81,5.0
6478,19103,32.88,24.06,2.66,5.0
6479,19104,18.64,27.37,5.31,7.0
6480,19106,17.35,2.13,-1.35,2.0
6481,19107,26.88,19.4,8.6,6.0
6486,19114,6.99,-6.04,4.11,1.0
6488,19116,-1.59,-0.38,1.43,2.0
6489,19118,5.54,16.75,-1.62,1.0
6493,19122,73.11,58.37,4.77,1.0
6498,19127,32.88,8.82,0.91,1.0
6499,19128,18.54,4.14,3.09,1.0
6501,19130,38.85,8.89,7.73,1.0
6502,19131,12.72,15.35,3.07,4.0
6505,19134,20.22,18.29,6.41,1.0
6512,19141,-1.71,17.8,-1.34,1.0
6518,19147,50.13,20.25,5.91,2.0
6519,19148,43.83,10.58,6.28,1.0
6522,19151,28.0,4.38,8.72,1.0
6523,19152,15.51,-5.81,-1.01,2.0
6525,19154,10.0,-5.9,4.51,1.0
6526,19301,0.99,2.61,-2.6,1.0
6535,19333,40.31,34.34,-0.64,1.0
6537,19341,12.92,6.31,2.45,7.0
6538,19342,24.03,4.58,3.38,3.0
6542,19348,1.63,-2.42,-0.04,1.0
6545,19355,18.28,5.9,3.29,1.0
6555,19380,14.83,2.58,3.51,2.0
6556,19382,4.97,7.97,1.16,2.0
6557,19383,15.05,10.15,-93.04,1.0
6558,19390,8.28,8.98,-1.68,1.0
6559,19401,5.2,-1.48,0.28,1.0
6560,19403,10.8,-3.51,3.41,1.0
6562,19406,15.7,-1.01,0.37,7.0
6565,19426,11.23,1.33,4.06,1.0
6566,19428,23.85,16.62,4.68,1.0
6574,19446,12.09,6.84,2.32,1.0
6575,19453,18.89,46.16,-0.67,1.0
6576,19454,11.46,3.39,4.55,4.0
6577,19456,-6.11,0.48,31.31,1.0
6580,19462,16.62,4.52,2.73,3.0
6581,19464,9.0,-1.96,1.41,3.0
6583,19468,8.05,1.04,0.35,2.0
6588,19477,-75.16,10.15,53.21,1.0
6602,19520,19.56,1.05,3.74,1.0
6608,19530,29.42,0.88,-1.71,1.0
6628,19560,3.43,-0.14,1.04,1.0
6633,19601,10.42,3.05,2.3,2.0
6637,19606,8.68,0.83,0.59,1.0
6640,19609,29.91,-0.31,1.18,1.0
6641,19610,9.85,8.32,2.82,1.0
6644,19702,9.97,1.2,6.02,5.0
6645,19703,11.83,-3.33,5.18,1.0
6647,19707,8.72,3.01,8.55,1.0
6648,19709,13.09,1.04,5.42,1.0
6650,19711,5.81,-0.71,6.1,1.0
6652,19716,15.05,10.15,inf,1.0
6662,19801,9.9,0.42,0.58,2.0
6664,19803,7.4,-0.25,-0.79,1.0
6668,19807,-23.78,-1.29,3.05,1.0
6669,19808,10.87,-0.81,0.45,2.0
6671,19810,1.5,0.27,2.42,2.0
6672,19901,4.4,-2.85,5.72,2.0
6702,19967,-5.15,14.47,-14.9,1.0
6705,19971,29.05,2.25,6.87,2.0
6707,19975,1.48,6.83,16.09,1.0
6710,20001,52.09,33.68,9.17,12.0
6711,20002,52.93,41.73,5.64,5.0
6712,20003,24.15,29.61,5.1,4.0
6713,20004,10.18,16.09,-3.67,6.0
6714,20005,33.5,2.15,-2.29,9.0
6715,20006,181.57,-3.62,3.04,4.0
6716,20007,24.75,21.17,-1.79,7.0
6717,20008,28.93,16.05,4.85,2.0
6718,20009,37.63,21.01,6.27,4.0
6719,20010,47.37,32.04,4.93,2.0
6720,20011,47.35,36.31,5.33,1.0
6721,20012,22.96,10.92,-1.1,2.0
6722,20015,6.16,13.88,-1.58,2.0
6723,20016,24.33,14.21,-1.55,7.0
6724,20017,36.63,34.5,2.34,1.0
6727,20020,0.03,2.34,2.74,1.0
6728,20024,28.36,31.79,2.55,6.0
6729,20032,16.41,4.71,4.95,1.0
6730,20036,12.89,-7.48,1.26,5.0
6731,20037,14.59,16.72,1.06,5.0
6733,20052,1113.14,10.15,inf,2.0
6736,20064,15.05,10.15,95.78,1.0
6737,20105,21.44,5.89,-3.28,1.0
6739,20109,7.99,3.74,-2.31,3.0
6740,20110,6.01,11.97,4.63,2.0
6742,20112,7.16,-1.33,3.64,1.0
6747,20120,9.0,9.36,5.05,1.0
6748,20121,2.71,3.9,0.51,1.0
6749,20124,11.93,3.34,10.46,1.0
6752,20132,7.39,-0.91,2.25,1.0
6754,20136,12.23,7.09,0.79,2.0
6760,20147,8.42,5.79,2.34,3.0
6761,20148,14.41,4.89,2.12,2.0
6762,20151,3.14,7.26,5.13,1.0
6763,20152,16.05,-0.97,3.7,3.0
6764,20155,9.02,12.12,0.25,3.0
6766,20164,10.38,9.01,-2.23,4.0
6767,20165,11.6,8.66,3.33,2.0
6768,20166,-3.02,11.53,-0.74,6.0
6769,20169,4.78,3.51,2.51,2.0
6770,20170,19.2,12.13,-1.57,3.0
6771,20171,5.32,11.92,0.82,4.0
6773,20176,14.54,1.98,1.55,5.0
6777,20186,10.83,8.42,-1.56,3.0
6778,20187,10.09,9.91,4.84,1.0
6779,20190,15.19,11.49,-3.54,6.0
6780,20191,10.71,5.66,1.17,2.0
6781,20194,-3.51,8.01,0.85,1.0
6811,20602,-1.22,-18.65,6.85,1.0
6812,20603,10.24,-6.49,4.03,4.0
6814,20607,11.11,-2.51,4.24,1.0
6819,20613,17.5,0.36,6.6,2.0
6824,20619,3.02,-6.48,-2.28,1.0
6830,20625,0.06,18.8,-8.91,1.0
6842,20646,1.95,-8.76,-0.57,3.0
6845,20657,10.04,-19.46,10.24,1.0
6857,20678,18.61,-9.75,0.8,2.0
6870,20705,12.07,2.33,0.49,1.0
6872,20707,4.79,-5.74,2.05,3.0
6878,20715,12.07,-4.5,9.23,2.0
6879,20716,6.63,-8.74,6.79,4.0
6880,20720,13.0,-6.09,6.37,3.0
6881,20721,-0.63,-15.11,4.04,1.0
6884,20724,22.74,-7.18,1.97,1.0
6887,20735,9.95,-16.17,0.25,1.0
6890,20740,2.25,-8.14,5.43,2.0
6893,20744,14.97,-11.87,8.0,1.0
6894,20745,0.44,-13.95,3.16,3.0
6896,20747,6.98,-12.5,8.68,2.0
6899,20754,-2.4,-10.64,13.06,2.0
6900,20755,28.57,-77.76,15.11,1.0
6903,20762,29.88,10.15,-4.1,1.0
6908,20770,15.06,-11.6,0.02,3.0
6909,20772,7.48,-10.3,5.77,1.0
6910,20774,2.67,-6.57,7.18,2.0
6916,20782,22.68,-8.62,4.19,2.0
6917,20783,10.82,0.62,-0.06,1.0
6918,20784,14.85,-13.67,7.1,1.0
6920,20794,12.99,2.93,3.54,1.0
6922,20814,16.34,15.93,0.88,4.0
6923,20815,25.99,12.82,-2.2,2.0
6924,20816,22.71,7.28,-0.88,2.0
6925,20817,19.24,12.32,0.76,1.0
6927,20832,11.55,-3.84,5.03,3.0
6932,20841,15.05,-1.6,9.07,1.0
6934,20850,6.21,7.87,1.56,4.0
6936,20852,7.72,5.56,-4.12,7.0
6937,20853,18.63,-0.39,1.4,1.0
6938,20854,8.41,2.63,1.17,3.0
6943,20866,15.1,-7.9,5.39,1.0
6945,20871,4.06,-5.46,-6.59,1.0
6946,20872,13.41,-5.31,4.08,1.0
6947,20874,7.72,-3.41,-2.12,4.0
6948,20876,5.56,2.93,1.22,2.0
6949,20877,5.53,-0.2,-3.69,1.0
6950,20878,13.13,6.47,1.23,7.0
6951,20879,6.38,-3.15,-0.98,2.0
6955,20895,28.75,12.05,0.27,2.0
6958,20901,21.4,0.98,2.23,2.0
6959,20902,22.92,2.08,-0.34,5.0
6960,20903,10.93,-6.43,2.28,1.0
6961,20904,24.93,-1.61,6.76,2.0
6962,20905,2.54,-9.35,3.64,1.0
6963,20906,7.5,-3.22,-0.56,1.0
6964,20910,12.55,12.48,2.51,3.0
6965,20912,21.59,15.0,-2.07,1.0
6968,21009,6.05,-7.41,3.93,2.0
6970,21012,19.25,5.15,0.47,1.0
6972,21014,5.55,-0.32,3.41,4.0
6976,21029,6.16,-2.01,4.27,1.0
6977,21030,-1.64,-1.44,4.98,3.0
6983,21037,15.09,4.08,3.5,2.0
6985,21042,11.69,2.09,0.13,2.0
6986,21043,10.9,1.5,0.77,3.0
6987,21044,7.79,1.41,1.77,3.0
6988,21045,14.34,-3.26,2.0,3.0
6989,21046,8.45,-5.64,-2.03,1.0
6996,21054,4.91,-12.01,1.45,3.0
6999,21060,16.72,1.38,0.15,1.0
7000,21061,9.97,-8.21,1.16,3.0
7003,21075,20.45,0.93,-1.69,1.0
7004,21076,6.89,-2.25,6.06,6.0
7007,21082,74.96,-19.1,6.86,1.0
7008,21084,16.37,0.16,4.49,3.0
7011,21090,20.65,0.87,4.69,1.0
7012,21093,17.09,1.49,0.63,2.0
7013,21102,13.37,-0.78,-1.54,3.0
7017,21111,17.74,-16.42,2.18,1.0
7018,21113,8.83,-5.12,4.78,1.0
7020,21117,8.27,-5.28,1.01,3.0
7023,21128,9.4,-5.4,-0.39,1.0
7025,21131,17.02,-5.99,8.07,1.0
7031,21146,20.76,8.64,0.04,3.0
7032,21152,-6.97,2.45,-0.52,2.0
7034,21154,-7.89,-7.58,2.95,1.0
7035,21155,136.28,1.52,13.97,2.0
7037,21157,10.97,-3.87,3.83,2.0
7038,21158,13.14,-0.28,3.38,1.0
7041,21162,51.54,0.79,-12.4,2.0
7042,21163,4.75,-2.59,5.45,1.0
7043,21201,27.4,-10.78,6.66,3.0
7044,21202,44.26,11.77,10.97,4.0
7045,21204,15.06,-1.97,-2.49,5.0
7049,21208,13.26,-9.56,-0.46,1.0
7050,21209,16.35,3.22,2.58,2.0
7051,21210,11.59,-2.57,-1.83,2.0
7052,21211,35.27,10.14,5.62,1.0
7053,21212,19.66,-1.44,5.08,2.0
7056,21215,5.33,-11.78,6.81,1.0
7059,21218,24.45,-4.34,7.26,2.0
7061,21220,7.09,-4.54,-1.81,1.0
7065,21224,35.15,9.26,2.36,4.0
7069,21228,18.85,-0.42,2.89,1.0
7071,21230,32.81,12.18,4.1,2.0
7073,21234,10.3,-2.89,1.21,1.0
7074,21236,13.17,-5.23,2.78,4.0
7077,21240,15.05,10.15,2.14,4.0
7080,21251,15.05,10.15,167.86,1.0
7081,21252,15.05,10.15,-100.0,1.0
7082,21286,17.84,3.18,-3.63,2.0
7083,21401,19.23,4.86,3.52,10.0
7097,21532,15.96,-1.93,-5.91,1.0
7107,21555,-6.65,-31.42,15.46,1.0
7111,21601,-1.89,-7.2,1.77,3.0
7169,21701,12.7,-5.86,2.55,3.0
7171,21703,11.89,-3.73,3.89,2.0
7172,21704,22.6,7.56,-0.34,2.0
7189,21740,14.6,-9.86,1.03,3.0
7190,21742,4.37,-11.96,2.93,1.0
7201,21769,19.12,2.55,-1.06,1.0
7203,21771,13.48,-5.55,6.56,2.0
7214,21784,9.55,-1.97,5.11,3.0
7224,21801,4.08,-10.59,4.48,1.0
7226,21804,7.85,-11.72,-5.4,1.0
7243,21842,-0.92,-19.67,4.17,1.0
7253,21865,443.46,-5.75,0.01,1.0
7262,21901,21.34,-0.2,11.41,1.0
7278,22003,9.58,11.47,-0.35,2.0
7279,22015,11.77,6.43,3.19,4.0
7280,22025,0.94,2.15,5.95,2.0
7283,22030,19.81,16.73,-1.27,5.0
7284,22031,1.91,9.74,3.24,4.0
7285,22032,15.46,16.77,-0.61,1.0
7286,22033,10.42,11.42,-4.04,7.0
7289,22041,-6.18,10.3,2.1,4.0
7290,22042,20.02,13.46,-0.06,2.0
7291,22043,15.12,23.85,0.53,1.0
7292,22044,3.21,7.3,-3.84,3.0
7293,22046,13.39,13.99,0.78,3.0
7294,22060,7.84,-0.2,-9.69,3.0
7295,22066,14.84,10.42,6.72,1.0
7296,22079,26.15,10.64,2.66,1.0
7297,22101,16.75,13.4,-0.81,5.0
7298,22102,3.14,14.19,-3.87,8.0
7299,22124,2.08,8.36,1.72,1.0
7301,22134,13.8,-7.64,-3.51,1.0
7302,22150,15.25,10.25,1.42,5.0
7303,22151,27.25,11.72,-1.17,2.0
7304,22152,14.59,6.51,-0.57,2.0
7305,22153,4.44,5.23,1.43,3.0
7307,22180,21.8,17.42,-3.32,2.0
7309,22182,16.87,15.89,-2.77,2.0
7312,22192,4.7,2.18,0.3,7.0
7313,22193,8.54,4.97,3.71,1.0
7314,22201,18.29,10.71,-0.44,3.0
7315,22202,6.8,10.32,0.59,12.0
7316,22203,9.41,12.05,-4.19,3.0
7317,22204,17.74,12.05,2.07,1.0
7319,22206,17.54,8.05,-0.42,1.0
7320,22207,17.34,17.81,-2.53,3.0
7321,22209,23.51,36.12,-0.27,4.0
7322,22211,-4.63,10.15,17.32,1.0
7326,22302,20.02,5.67,0.64,2.0
7328,22304,9.82,-4.34,-0.56,1.0
7329,22305,30.22,29.25,-6.69,2.0
7330,22306,21.52,13.72,-1.51,4.0
7331,22307,17.63,15.95,0.98,1.0
7333,22309,5.0,6.24,-2.15,1.0
7335,22311,4.24,10.28,-1.79,1.0
7336,22312,4.92,4.4,-0.4,1.0
7337,22314,12.05,6.46,3.52,10.0
7338,22315,9.76,3.7,2.57,3.0
7339,22401,42.2,4.05,4.39,4.0
7341,22406,24.07,4.37,2.35,1.0
7342,22407,7.78,-6.19,5.22,6.0
7360,22485,5.84,3.97,1.67,1.0
7380,22554,13.8,-1.6,6.45,2.0
7381,22556,10.12,-1.74,6.46,2.0
7389,22601,17.44,-7.09,1.59,2.0
7391,22603,15.8,-6.8,-0.41,2.0
7399,22630,4.28,-1.56,1.42,2.0
7418,22701,8.93,1.3,-2.11,2.0
7451,22801,7.97,9.26,12.29,3.0
7453,22807,15.05,10.15,-100.0,1.0
7479,22901,18.09,2.07,5.54,3.0
7481,22903,40.69,3.17,8.94,3.0
7483,22911,-0.12,-9.95,11.49,3.0
7515,22980,5.81,0.98,-0.87,2.0
7519,23005,13.41,0.22,-1.81,1.0
7537,23047,5.15,24.1,-4.72,1.0
7541,23059,5.94,10.13,1.49,2.0
7542,23060,8.91,8.16,-1.25,2.0
7543,23061,12.68,-3.91,1.72,1.0
7571,23111,14.67,-3.49,6.87,2.0
7572,23112,17.33,-2.88,5.38,1.0
7573,23113,-2.71,1.23,2.0,4.0
7574,23114,13.42,0.94,6.46,1.0
7576,23116,2.12,-3.85,2.16,1.0
7608,23185,11.76,-0.06,3.02,5.0
7610,23188,9.27,-4.62,3.45,5.0
7612,23219,64.38,0.0,36.0,2.0
7613,23220,39.43,10.42,15.59,3.0
7614,23221,35.57,12.03,13.83,1.0
7616,23223,8.21,-3.0,7.26,1.0
7618,23225,13.87,6.4,4.1,3.0
7619,23226,21.85,18.72,0.69,4.0
7620,23227,11.01,1.09,1.12,1.0
7621,23228,16.37,-3.63,4.15,3.0
7623,23230,18.42,-11.85,4.74,4.0
7624,23231,8.74,-6.47,6.63,1.0
7625,23233,12.44,6.39,2.43,7.0
7627,23235,11.69,-2.42,-0.32,5.0
7628,23236,4.35,-6.2,1.93,1.0
7630,23238,13.25,4.35,0.63,1.0
7645,23320,7.66,-2.0,4.64,6.0
7646,23321,2.02,-10.02,1.85,1.0
7647,23322,5.41,-0.93,3.5,5.0
7681,23430,8.27,0.99,3.73,1.0
7684,23434,10.66,-3.77,2.42,1.0
7685,23435,4.36,-9.29,2.66,3.0
7692,23451,15.64,-6.13,4.52,5.0
7693,23452,12.1,0.49,4.46,6.0
7694,23453,0.46,-3.57,7.67,1.0
7695,23454,15.94,-0.64,8.4,5.0
7696,23455,19.9,0.91,5.07,3.0
7697,23456,12.09,-1.8,2.71,6.0
7702,23462,13.33,-2.64,6.77,2.0
7703,23464,10.82,-2.33,1.37,3.0
7708,23502,14.99,-4.24,4.05,2.0
7711,23505,10.24,1.41,4.86,2.0
7715,23510,5.78,-17.75,2.03,2.0
7716,23511,-47.77,10.15,52.54,1.0
7718,23517,18.42,-20.4,17.15,2.0
7719,23518,0.14,-4.51,7.0,5.0
7722,23601,9.29,-0.25,8.97,1.0
7723,23602,2.64,-3.09,5.75,4.0
7725,23604,12.79,10.15,-19.08,2.0
7727,23606,-0.06,-9.79,4.67,1.0
7728,23607,17.37,-12.04,1.01,1.0
7736,23666,0.99,-7.71,2.61,3.0
7737,23669,12.1,-7.21,4.92,1.0
7740,23692,2.4,5.94,-0.68,3.0
7741,23693,7.15,-5.65,2.91,1.0
7743,23701,12.16,-3.03,-0.34,1.0
7746,23704,12.19,-12.78,4.43,1.0
7747,23707,-4.74,-11.72,-4.5,1.0
7750,23801,20.3,-19.89,32.66,1.0
7760,23831,17.36,-3.27,2.49,2.0
7761,23832,16.52,-5.3,2.38,3.0
7763,23834,6.73,-12.24,3.03,1.0
7777,23851,18.47,-8.12,3.14,1.0
7780,23860,7.93,-11.59,1.73,1.0
7791,23882,13.93,-21.03,1.59,1.0
7841,24012,10.43,-3.18,-3.68,2.0
7843,24014,28.42,3.1,1.47,1.0
7844,24015,8.26,0.12,0.27,1.0
7845,24016,16.41,6.81,7.36,1.0
7847,24018,1.03,-3.71,1.8,1.0
7855,24060,23.5,20.16,11.4,4.0
7863,24073,18.86,7.93,7.76,1.0
7902,24142,15.05,10.15,-73.68,1.0
7908,24153,20.21,8.24,0.25,2.0
7922,24202,11.07,18.99,2.43,2.0
7980,35601,6.48,1.34,0.29,1.0
7981,35603,-3.88,6.46,2.22,1.0
7983,35611,-4.92,17.21,3.34,1.0
7993,35630,25.23,15.24,-1.65,1.0
8032,35758,-0.28,6.81,6.82,3.0
8048,35801,14.54,17.6,0.01,3.0
8049,35802,8.91,12.75,2.64,2.0
8052,35806,-0.36,10.94,5.47,2.0
8061,35904,17.39,7.68,1.15,1.0
8137,36066,-4.59,9.13,7.5,2.0
8155,36106,-6.91,-3.65,3.08,2.0
8164,36116,1.24,-5.86,7.93,1.0
8165,36117,0.61,-5.12,-0.66,3.0
8167,36203,11.42,16.37,6.16,2.0
8195,36303,7.7,5.55,3.7,1.0
8273,36526,11.15,4.75,-0.01,1.0
8274,36527,13.85,10.38,-3.37,1.0
8279,36535,6.15,2.3,8.99,1.0
8284,36542,6.33,0.46,8.4,1.0
8298,36561,19.5,-4.04,2.92,1.0
8321,36604,12.66,-0.06,2.25,1.0
8323,36606,1.45,-5.77,9.89,3.0
8325,36608,7.0,-2.74,4.35,2.0
8336,36688,15.05,10.15,-100.0,1.0
8338,36695,0.54,3.11,1.14,3.0
8381,36801,-1.22,10.96,4.29,3.0
8383,36830,10.31,7.79,5.67,1.0
8385,36849,15.05,10.15,157.89,1.0
8423,37013,13.72,13.45,-0.11,1.0
8485,25701,14.56,16.35,0.29,1.0
8489,25705,1.49,14.19,-0.54,1.0
8490,25801,20.25,18.01,3.07,2.0
8566,26003,21.4,22.6,2.68,1.0
8584,26060,22.24,75.52,4.54,1.0
8585,26062,20.33,6.22,0.09,1.0
8627,26209,120.71,-49.97,-17.62,1.0
8671,26301,31.72,11.36,-1.18,1.0
8730,26501,14.56,31.5,1.17,2.0
8731,26505,61.86,16.93,23.28,1.0
8838,27012,8.22,5.76,1.05,1.0
8869,27103,20.35,7.77,4.71,8.0
8870,27104,8.27,11.11,5.2,1.0
8871,27105,11.16,0.31,2.99,2.0
8872,27106,-0.27,0.61,1.65,3.0
8874,27109,15.05,10.15,21.05,1.0
8885,27215,-3.51,7.91,3.63,4.0
8901,27262,-2.38,3.99,-4.87,2.0
8903,27265,7.54,2.91,2.46,1.0
8906,27282,-6.84,-1.33,-1.9,1.0
8908,27284,6.79,2.72,1.95,3.0
8916,27302,10.91,11.86,1.59,1.0
8931,27332,15.41,1.21,1.96,1.0
8951,27406,11.01,-1.38,-2.7,1.0
8952,27407,8.39,-2.99,2.97,2.0
8953,27408,-2.62,16.16,3.63,2.0
8954,27409,-0.64,18.63,7.3,2.0
8955,27410,3.22,5.51,2.11,8.0
8956,27455,19.57,24.17,9.03,2.0
8958,27502,20.49,22.83,5.27,2.0
8966,27511,8.19,13.08,4.74,4.0
8967,27513,13.49,14.77,8.06,3.0
8968,27514,30.44,15.18,3.74,5.0
8970,27517,5.51,6.77,3.88,2.0
8971,27518,-4.28,5.76,3.98,4.0
8972,27519,5.69,6.55,5.27,6.0
8973,27520,15.56,8.98,1.48,1.0
8976,27523,42.45,14.47,-0.52,1.0
8979,27526,12.4,13.47,1.56,1.0
8980,27527,17.76,6.63,2.49,1.0
8981,27529,2.77,10.8,2.72,3.0
8984,27534,3.91,2.39,6.3,3.0
8988,27540,18.93,17.79,-0.39,3.0
8992,27545,-0.56,9.98,-1.21,2.0
9001,27560,25.96,15.67,2.05,5.0
9012,27577,13.49,13.67,3.58,1.0
9016,27587,16.83,17.29,2.41,2.0
9022,27601,85.2,90.81,20.58,1.0
9024,27604,18.02,7.38,1.69,1.0
9025,27605,24.82,-5.95,1.67,2.0
9027,27607,40.07,23.25,10.66,2.0
9029,27609,16.71,24.46,2.43,2.0
9030,27610,12.45,7.1,2.0,1.0
9031,27612,19.98,10.98,3.12,5.0
9032,27613,16.45,12.98,2.94,1.0
9033,27614,17.46,7.86,9.38,1.0
9034,27615,6.99,12.49,3.44,2.0
9035,27616,20.02,12.03,8.15,4.0
9036,27617,5.04,8.02,6.03,1.0
9038,27703,17.91,15.73,5.76,1.0
9040,27705,14.07,18.15,4.53,4.0
9041,27707,13.57,14.02,1.02,6.0
9044,27713,19.55,16.7,1.87,4.0
9047,27804,8.24,-6.08,-1.09,1.0
9049,27806,-28.64,-23.47,9.51,2.0
9074,27834,14.9,12.44,2.1,2.0
9093,27858,0.96,-0.76,1.82,5.0
9102,27870,5.99,4.45,1.4,1.0
9124,27896,0.12,3.56,3.77,2.0
9126,27909,6.32,-8.85,5.76,1.0
9139,27927,-7.33,3.19,5.8,1.0
9154,27948,10.98,-17.31,1.79,1.0
9155,27949,9.62,-8.97,3.84,1.0
9196,28027,19.53,13.55,3.42,7.0
9197,28031,13.01,10.3,1.57,3.0
9200,28034,13.57,4.9,5.62,1.0
9201,28036,56.43,4.35,-0.17,1.0
9205,28043,5.78,12.16,1.95,1.0
9207,28054,7.23,4.29,4.74,3.0
9212,28075,24.97,23.8,-0.39,1.0
9215,28078,15.23,12.05,0.45,5.0
9216,28079,16.92,7.43,3.82,1.0
9220,28086,5.56,4.68,-0.7,1.0
9225,28092,10.89,2.32,2.97,1.0
9231,28104,8.03,6.0,1.46,2.0
9232,28105,12.51,11.8,5.33,3.0
9236,28110,4.67,6.48,4.76,2.0
9240,28117,8.9,5.59,5.29,4.0
9249,28134,13.23,22.96,-1.29,3.0
9254,28144,21.46,3.17,0.45,1.0
9258,28152,1.33,10.91,3.46,1.0
9268,28173,24.95,17.77,0.36,2.0
9270,28202,43.89,2.11,3.81,3.0
9271,28203,36.58,33.84,-0.59,1.0
9272,28204,29.65,35.99,-2.96,3.0
9273,28205,32.99,35.64,4.32,1.0
9275,28207,7.45,26.04,0.21,2.0
9276,28208,17.85,7.52,0.19,9.0
9277,28209,28.43,24.7,-2.92,1.0
9279,28211,21.68,21.6,1.24,4.0
9284,28216,2.42,3.91,4.24,4.0
9286,28226,39.29,20.98,2.43,2.0
9287,28227,5.96,14.3,6.64,1.0
9288,28244,15.05,10.15,2.14,1.0
9289,28262,14.43,6.96,7.6,4.0
9290,28269,2.01,2.23,9.01,2.0
9292,28273,20.71,15.17,3.6,5.0
9293,28277,13.68,20.08,-0.49,10.0
9294,28278,15.27,21.62,-1.33,2.0
9295,28280,15.05,10.15,2.14,1.0
9298,28303,-17.34,2.38,2.83,2.0
9299,28304,11.57,4.02,7.32,1.0
9301,28306,5.57,10.8,1.43,1.0
9302,28307,7.14,149.31,-2.37,1.0
9304,28310,15.05,10.15,-21.81,2.0
9305,28311,1.5,3.95,0.83,2.0
9307,28314,-1.98,4.63,5.41,1.0
9308,28315,38.91,-6.73,1.8,1.0
9337,28358,9.31,11.03,0.95,1.0
9346,28372,1.54,20.35,2.91,1.0
9348,28374,23.45,6.27,0.16,1.0
9369,28403,7.94,-0.68,-1.86,5.0
9370,28405,13.21,1.3,4.46,2.0
9373,28412,7.5,-1.26,3.28,2.0
9378,28424,444.92,468.9,40.26,1.0
9400,28451,18.14,-2.22,8.88,1.0
9437,28524,-47.65,-39.1,7.19,1.0
9453,28546,-3.54,6.33,5.35,2.0
9461,28557,19.17,4.47,4.87,1.0
9463,28562,14.34,-4.32,2.49,4.0
9482,28590,15.71,9.47,9.01,1.0
9484,28601,14.38,10.19,0.4,1.0
9485,28602,22.64,11.94,1.04,2.0
9489,28607,45.08,1.03,5.14,1.0
9504,28625,1.64,-1.65,-1.56,1.0
9527,28654,-11.0,6.47,18.96,2.0
9563,28704,21.07,16.32,5.08,2.0
9568,28711,9.43,30.03,6.62,1.0
9569,28712,7.64,27.69,1.21,1.0
9571,28714,3.61,8.89,1.72,1.0
9572,28715,16.37,15.59,-2.27,1.0
9573,28716,6.38,15.0,1.6,1.0
9574,28717,-25.07,-53.34,-10.03,1.0
9580,28723,35.67,38.79,-2.97,1.0
9585,28731,19.51,5.53,10.45,1.0
9586,28732,20.46,11.62,3.19,1.0
9607,28759,-7.02,11.59,-1.76,1.0
9619,28778,4.61,8.52,10.04,1.0
9625,28786,19.86,11.36,3.52,1.0
9626,28787,2.93,5.99,0.3,1.0
9630,28792,10.13,7.65,-3.4,3.0
9631,28801,23.77,34.57,9.52,1.0
9632,28803,12.87,13.11,4.22,4.0
9633,28804,21.18,20.56,0.91,1.0
9634,28805,2.57,20.22,1.3,4.0
9635,28806,17.61,19.29,5.13,3.0
9638,28904,4.56,5.82,3.45,1.0
9640,28906,6.94,-0.97,4.83,1.0
9653,29031,55.97,44.0,-11.03,2.0
9654,29032,9.48,6.67,0.58,1.0
