,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Starbucks Store Count,Walmart Store Count
122,13032,5.54,24.43,0.88,1.0,0.0
123,13033,22.33,22.0,5.63,0.0,0.0
124,13034,24.39,16.28,-2.05,0.0,0.0
125,13035,10.25,13.35,3.01,0.0,0.0
126,13036,12.15,4.98,5.75,0.0,1.0
127,13037,25.35,27.36,2.83,0.0,0.0
128,13039,22.08,7.44,5.82,1.0,1.0
129,13040,21.6,12.92,-0.94,0.0,0.0
130,13041,17.55,7.76,7.98,1.0,0.0
131,13042,27.72,29.32,-6.1,0.0,0.0
132,13044,34.29,25.64,15.63,0.0,0.0
133,13045,18.74,19.94,2.96,0.0,1.0
134,13051,-43.78,94.56,-36.79,0.0,0.0
135,13052,12.97,4.43,-2.79,0.0,0.0
136,13053,7.16,13.68,-5.44,0.0,0.0
137,13054,96.49,79.03,-1.73,0.0,0.0
138,13057,13.45,3.79,4.9,0.0,1.0
139,13060,11.24,35.49,-2.25,0.0,0.0
140,13061,-14.8,9.8,19.02,0.0,0.0
141,13062,49.5,10.15,-42.5,0.0,0.0
142,13063,39.29,29.63,0.78,0.0,0.0
143,13064,0.48,-16.6,8.73,0.0,0.0
144,13066,1.26,19.94,-0.04,1.0,0.0
145,13068,1.43,9.3,-5.98,0.0,0.0
146,13069,17.61,6.97,1.51,0.0,1.0
147,13071,1.32,2.48,-6.41,0.0,0.0
148,13072,25.77,-2.83,12.38,0.0,0.0
149,13073,27.31,23.62,6.61,0.0,0.0
150,13074,16.32,-6.79,2.94,0.0,0.0
151,13076,1.71,9.65,8.25,0.0,0.0
152,13077,8.81,17.64,-1.68,0.0,0.0
153,13078,1.19,2.15,3.64,0.0,0.0
154,13080,-14.68,4.88,2.23,0.0,0.0
155,13081,60.08,48.2,-2.65,0.0,0.0
156,13082,35.81,13.52,0.44,0.0,0.0
157,13083,63.92,23.06,8.58,0.0,0.0
158,13084,-4.86,-0.72,-0.93,0.0,0.0
159,13087,41.29,110.99,97.97,0.0,0.0
160,13088,12.08,8.31,0.54,0.0,0.0
161,13090,6.53,7.04,3.15,1.0,1.0
162,13092,16.43,22.54,3.35,0.0,0.0
163,13101,13.21,24.42,3.55,0.0,0.0
164,13102,41.1,10.15,155.43,0.0,0.0
165,13103,187.19,1845.82,62.48,0.0,0.0
166,13104,17.67,9.85,6.94,0.0,0.0
167,13108,11.51,6.64,5.59,0.0,0.0
168,13110,20.63,13.13,2.32,0.0,0.0
169,13111,-4.41,34.71,-2.54,0.0,0.0
170,13112,3.26,23.0,5.6,0.0,0.0
171,13113,34.8,3.24,-9.54,0.0,0.0
172,13114,25.84,27.93,-0.84,0.0,0.0
173,13115,21.53,5.91,56.79,0.0,0.0
174,13116,-5.63,12.02,-7.89,0.0,0.0
175,13117,-2.46,12.22,-14.18,0.0,0.0
176,13118,1.24,18.51,2.29,0.0,0.0
177,13120,-0.7,4.29,8.6,0.0,0.0
178,13122,44.02,53.13,-8.88,0.0,0.0
179,13123,206.92,-57.96,-39.04,0.0,0.0
180,13124,-28.43,-37.45,-4.02,0.0,0.0
