,Median Household Income,Zip,Median Home Value,Have Bachelors+,Total Population,% Bachelors+
98,-666666666.0,12977,-666666666.0,1638.0,1932.0,84.78
99,70417.0,12978,109400.0,264.0,352.0,75.0
100,52831.0,12979,140500.0,1860.0,2593.0,71.73
101,35104.0,12980,63600.0,851.0,1234.0,68.96
102,52667.0,12981,111300.0,1693.0,2309.0,73.32
103,44455.0,12983,161600.0,5649.0,7738.0,73.0
104,58942.0,12985,92300.0,497.0,881.0,56.41
105,48856.0,12986,116100.0,4208.0,6100.0,68.98
106,51563.0,12987,156300.0,178.0,190.0,93.68
107,55093.0,12989,139100.0,940.0,1222.0,76.92
108,55290.0,12992,105900.0,3054.0,4363.0,70.0
109,40644.0,12993,150800.0,1186.0,1721.0,68.91
110,43889.0,12996,106300.0,1441.0,1958.0,73.6
111,55250.0,12997,244900.0,829.0,1157.0,71.65
112,33971.0,12998,133600.0,318.0,596.0,53.36
113,31696.0,13020,98600.0,97.0,167.0,58.08
114,46145.0,13021,107700.0,27429.0,39125.0,70.11
115,-666666666.0,13024,-666666666.0,1562.0,1729.0,90.34
116,54485.0,13026,135300.0,982.0,1733.0,56.66
117,63836.0,13027,142700.0,21530.0,30759.0,70.0
118,49081.0,13028,110900.0,863.0,1143.0,75.5
119,66875.0,13029,153700.0,4472.0,6912.0,64.7
120,56686.0,13030,141800.0,2634.0,3739.0,70.45
121,65579.0,13031,147500.0,10528.0,15117.0,69.64
122,55988.0,13032,100300.0,9403.0,13387.0,70.24
123,54678.0,13033,98200.0,2857.0,4483.0,63.73
124,55156.0,13034,117300.0,1287.0,1806.0,71.26
125,72131.0,13035,195500.0,5395.0,8423.0,64.05
126,49257.0,13036,114400.0,5797.0,8340.0,69.51
127,59505.0,13037,114400.0,5933.0,8916.0,66.54
128,74491.0,13039,159900.0,11666.0,17402.0,67.04
129,42542.0,13040,85900.0,1647.0,2318.0,71.05
130,76154.0,13041,137800.0,7042.0,10865.0,64.81
131,49762.0,13042,97200.0,1581.0,2228.0,70.96
132,47955.0,13044,93200.0,1793.0,2702.0,66.36
133,44403.0,13045,99300.0,17507.0,30517.0,57.37
134,105000.0,13051,100000.0,43.0,43.0,100.0
135,49158.0,13052,94900.0,1093.0,1555.0,70.29
136,63326.0,13053,152000.0,2895.0,4153.0,69.71
137,34936.0,13054,84900.0,920.0,1338.0,68.76
138,53742.0,13057,116200.0,10832.0,15042.0,72.01
139,53796.0,13060,102000.0,1807.0,2542.0,71.09
140,79375.0,13061,166400.0,829.0,1175.0,70.55
141,39485.0,13062,-666666666.0,77.0,77.0,100.0
142,68500.0,13063,136000.0,1372.0,1906.0,71.98
143,58750.0,13064,233300.0,27.0,34.0,79.41
144,88721.0,13066,195100.0,8581.0,11949.0,71.81
145,61750.0,13068,146300.0,3757.0,5120.0,73.38
146,42762.0,13069,80300.0,16156.0,24328.0,66.41
147,63125.0,13071,104800.0,630.0,831.0,75.81
148,44167.0,13072,88300.0,843.0,1191.0,70.78
149,53578.0,13073,116000.0,4145.0,6429.0,64.47
150,49271.0,13074,94300.0,3444.0,4994.0,68.96
151,61563.0,13076,100500.0,1675.0,2481.0,67.51
152,56230.0,13077,111700.0,4490.0,6466.0,69.44
153,87113.0,13078,195500.0,7323.0,10334.0,70.86
154,59977.0,13080,110600.0,2661.0,3831.0,69.46
155,51875.0,13081,116600.0,841.0,1141.0,73.71
156,49349.0,13082,117600.0,3235.0,4276.0,75.65
157,41179.0,13083,92800.0,1084.0,1631.0,66.46
158,68405.0,13084,153700.0,3089.0,4467.0,69.15
159,44236.0,13087,119200.0,90.0,240.0,37.5
160,51912.0,13088,121600.0,16157.0,21475.0,75.24
161,69836.0,13090,143500.0,20235.0,30033.0,67.38
162,60821.0,13092,99400.0,2018.0,2980.0,67.72
163,55339.0,13101,86400.0,1911.0,2814.0,67.91
164,41838.0,13102,-666666666.0,101.0,258.0,39.15
165,24048.0,13103,9999.0,136.0,271.0,50.18
166,88657.0,13104,220200.0,10633.0,16260.0,65.39
167,67113.0,13108,165700.0,4195.0,6253.0,67.09
168,67560.0,13110,157700.0,1754.0,2315.0,75.77
169,42813.0,13111,72600.0,1070.0,1415.0,75.62
170,67938.0,13112,116500.0,1249.0,1840.0,67.88
171,63750.0,13113,101700.0,138.0,212.0,65.09
172,48470.0,13114,85200.0,4519.0,6568.0,68.8
173,35278.0,13115,91300.0,94.0,205.0,45.85
174,59390.0,13116,119800.0,2449.0,3426.0,71.48
175,56389.0,13117,76900.0,147.0,182.0,80.77
176,55078.0,13118,99400.0,4440.0,6172.0,71.94
177,56393.0,13120,83900.0,1309.0,2069.0,63.27
178,52250.0,13122,142100.0,534.0,822.0,64.96
179,19038.0,13123,159600.0,69.0,83.0,83.13
180,63750.0,13124,131900.0,89.0,110.0,80.91
181,47196.0,13126,93000.0,21757.0,37711.0,57.69
182,50663.0,13131,95300.0,2421.0,3610.0,67.06
183,57386.0,13132,124600.0,2667.0,3958.0,67.38
184,41667.0,13134,48900.0,25.0,25.0,100.0
185,52221.0,13135,97900.0,4603.0,7055.0,65.24
186,39904.0,13136,73800.0,352.0,480.0,73.33
187,-666666666.0,13138,-666666666.0,30.0,30.0,100.0
188,43967.0,13140,88200.0,2793.0,4254.0,65.66
189,45893.0,13141,100700.0,348.0,524.0,66.41
190,47699.0,13142,88400.0,4227.0,6552.0,64.51
191,44362.0,13143,80200.0,2405.0,3482.0,69.07
192,43370.0,13144,66600.0,975.0,1530.0,63.73
193,44444.0,13145,81400.0,1269.0,1846.0,68.74
194,42336.0,13146,64300.0,1455.0,2328.0,62.5
195,76350.0,13147,93200.0,934.0,1545.0,60.45
196,46684.0,13148,92300.0,7376.0,10917.0,67.56
197,79981.0,13152,266000.0,6005.0,8187.0,73.35
198,74671.0,13153,102100.0,149.0,255.0,58.43
199,32788.0,13155,71400.0,392.0,745.0,52.62
200,42191.0,13156,81000.0,1517.0,2137.0,70.99
201,49375.0,13157,84300.0,698.0,834.0,83.69
202,48676.0,13158,92900.0,1232.0,1954.0,63.05
203,69103.0,13159,157700.0,3634.0,5426.0,66.97
204,62700.0,13160,112200.0,1292.0,2080.0,62.12
205,39750.0,13162,108000.0,287.0,434.0,66.13
206,57857.0,13163,126300.0,219.0,256.0,85.55
207,83281.0,13164,140800.0,1766.0,2499.0,70.67
208,46939.0,13165,80600.0,7465.0,10495.0,71.13
209,50966.0,13166,89800.0,3777.0,5503.0,68.64
210,53591.0,13167,113800.0,2348.0,3441.0,68.24
211,14512.0,13202,49000.0,3205.0,5385.0,59.52
212,27562.0,13203,90900.0,10144.0,15873.0,63.91
213,27514.0,13204,69900.0,11738.0,20295.0,57.84
214,30154.0,13205,71100.0,10904.0,18349.0,59.43
215,41804.0,13206,84900.0,11109.0,15633.0,71.06
216,39250.0,13207,80600.0,8799.0,13661.0,64.41
217,30237.0,13208,80700.0,14277.0,22812.0,62.59
218,48125.0,13209,106100.0,9921.0,13714.0,72.34
219,27318.0,13210,116100.0,10389.0,28618.0,36.3
220,43139.0,13211,83100.0,4578.0,6641.0,68.94
221,53822.0,13212,107900.0,14841.0,20575.0,72.13
222,51469.0,13214,150800.0,5029.0,8009.0,62.79
223,79255.0,13215,185700.0,10419.0,15433.0,67.51
224,56487.0,13219,123300.0,10876.0,15100.0,72.03
225,51863.0,13224,138300.0,6193.0,9443.0,65.58
226,-666666666.0,13290,-666666666.0,0.0,0.0,
227,55568.0,13301,138500.0,95.0,159.0,59.75
228,47500.0,13302,77900.0,1017.0,1526.0,66.64
229,51786.0,13303,114200.0,761.0,997.0,76.33
230,72587.0,13304,119800.0,1022.0,1388.0,73.63
231,60139.0,13305,87800.0,147.0,232.0,63.36
232,53174.0,13308,87900.0,2637.0,3764.0,70.06
233,49324.0,13309,105000.0,4410.0,6197.0,71.16
234,70435.0,13310,94600.0,527.0,795.0,66.29
235,36964.0,13312,172300.0,251.0,334.0,75.15
236,35625.0,13313,25600.0,397.0,615.0,64.55
237,39886.0,13314,61900.0,281.0,456.0,61.62
238,60573.0,13315,123200.0,1176.0,1662.0,70.76
239,49826.0,13316,95700.0,4753.0,6708.0,70.86
240,48906.0,13317,95700.0,2516.0,3795.0,66.3
241,41250.0,13318,95200.0,816.0,1180.0,69.15
242,41594.0,13319,81700.0,595.0,1079.0,55.14
243,43750.0,13320,128300.0,1489.0,2088.0,71.31
244,47891.0,13321,41900.0,727.0,1122.0,64.8
245,55089.0,13322,114200.0,909.0,1242.0,73.19
246,63617.0,13323,155800.0,6877.0,11260.0,61.07
247,40755.0,13324,83800.0,1695.0,2368.0,71.58
248,49063.0,13325,87200.0,564.0,921.0,61.24
249,55272.0,13326,250200.0,3890.0,5647.0,68.89
250,45168.0,13327,109600.0,1480.0,2097.0,70.58
251,55288.0,13328,131000.0,941.0,1175.0,80.09
252,40217.0,13329,77800.0,2829.0,3965.0,71.35
253,108056.0,13331,288500.0,253.0,253.0,100.0
254,47679.0,13332,87100.0,1800.0,2765.0,65.1
255,44250.0,13333,98800.0,40.0,43.0,93.02
256,32485.0,13334,104400.0,862.0,1312.0,65.7
257,46406.0,13335,108700.0,1063.0,1704.0,62.38
258,46458.0,13337,234600.0,475.0,613.0,77.49
259,48269.0,13338,109000.0,870.0,1143.0,76.12
260,41947.0,13339,81600.0,4612.0,7137.0,64.62
261,46852.0,13340,100000.0,5612.0,7966.0,70.45
262,25313.0,13341,86900.0,96.0,113.0,84.96
263,64375.0,13342,124200.0,150.0,226.0,66.37
264,42143.0,13343,91800.0,1031.0,1472.0,70.04
265,30474.0,13345,97000.0,94.0,198.0,47.47
266,61779.0,13346,164500.0,2899.0,6683.0,43.38
267,52083.0,13348,144900.0,942.0,1169.0,80.58
268,31689.0,13350,82300.0,6611.0,10078.0,65.6
269,58494.0,13352,94000.0,97.0,171.0,56.73
270,55313.0,13353,243800.0,39.0,50.0,78.0
271,70227.0,13354,137700.0,2103.0,3291.0,63.9
272,39417.0,13355,84300.0,476.0,784.0,60.71
273,41480.0,13357,81900.0,7559.0,11238.0,67.26
274,59375.0,13360,318000.0,400.0,517.0,77.37
275,50435.0,13361,109300.0,556.0,983.0,56.56
276,115655.0,13362,94000.0,78.0,132.0,59.09
277,61316.0,13363,129700.0,1705.0,2795.0,61.0
278,29338.0,13364,68400.0,227.0,348.0,65.23
279,43145.0,13365,82000.0,6149.0,8706.0,70.63
280,44071.0,13367,119100.0,5587.0,8415.0,66.39
281,51875.0,13368,84000.0,874.0,1306.0,66.92
282,41793.0,13402,118600.0,1294.0,1606.0,80.57
283,69813.0,13403,185500.0,5598.0,7691.0,72.79
284,38500.0,13404,86900.0,144.0,231.0,62.34
285,51371.0,13406,84900.0,591.0,860.0,68.72
286,42109.0,13407,88600.0,3779.0,5479.0,68.97
287,40152.0,13408,107100.0,1356.0,3537.0,38.34
288,52130.0,13409,85400.0,1865.0,2978.0,62.63
289,40096.0,13410,74700.0,206.0,257.0,80.16
290,43165.0,13411,89900.0,2609.0,3774.0,69.13
291,62149.0,13413,158300.0,11718.0,16095.0,72.81
292,63438.0,13415,70800.0,50.0,63.0,79.37
293,45313.0,13416,104700.0,1453.0,2107.0,68.96
294,35909.0,13417,101400.0,2601.0,3412.0,76.23
295,109444.0,13418,67800.0,225.0,343.0,65.6
296,59766.0,13420,366100.0,862.0,1029.0,83.77
297,47022.0,13421,107200.0,9779.0,14283.0,68.47
298,62348.0,13424,115100.0,1936.0,2685.0,72.1
299,38571.0,13425,100200.0,1579.0,2234.0,70.68
300,50313.0,13428,106600.0,1022.0,1391.0,73.47
301,55461.0,13431,117600.0,1425.0,2068.0,68.91
302,30203.0,13433,77700.0,1091.0,1797.0,60.71
303,57411.0,13435,88300.0,180.0,238.0,75.63
304,58304.0,13436,153100.0,102.0,106.0,96.23
305,33750.0,13437,72600.0,391.0,506.0,77.27
306,55962.0,13438,112300.0,2818.0,4136.0,68.13
307,40375.0,13439,112500.0,2753.0,3729.0,73.83
308,49553.0,13440,95100.0,30013.0,42538.0,70.56
309,-666666666.0,13441,-666666666.0,28.0,35.0,80.0
310,31974.0,13450,187500.0,130.0,142.0,91.55
311,39517.0,13452,78800.0,3052.0,4697.0,64.98
312,40455.0,13454,81000.0,481.0,648.0,74.23
313,62566.0,13456,126100.0,2911.0,3935.0,73.98
314,51700.0,13459,117300.0,1591.0,2167.0,73.42
315,50536.0,13460,89400.0,2951.0,4236.0,69.66
316,61802.0,13461,132000.0,2219.0,3120.0,71.12
317,51827.0,13464,80800.0,797.0,1077.0,74.0
318,50909.0,13468,140400.0,357.0,524.0,68.13
319,57604.0,13469,70600.0,373.0,611.0,61.05
320,37604.0,13470,77000.0,471.0,620.0,75.97
321,43125.0,13471,72400.0,2285.0,3466.0,65.93
322,53393.0,13472,335700.0,203.0,276.0,73.55
323,43889.0,13473,98900.0,490.0,678.0,72.27
324,-666666666.0,13475,-666666666.0,3.0,3.0,100.0
325,55694.0,13476,132200.0,1991.0,2914.0,68.33
326,50375.0,13477,103600.0,1076.0,1776.0,60.59
327,73250.0,13478,105800.0,2102.0,2776.0,75.72
328,49219.0,13480,103500.0,2373.0,3572.0,66.43
329,37031.0,13483,82400.0,158.0,220.0,71.82
330,54938.0,13484,9999.0,80.0,217.0,36.87
331,42292.0,13485,80500.0,657.0,856.0,76.75
332,46750.0,13486,85800.0,468.0,625.0,74.88
333,68333.0,13488,188600.0,113.0,173.0,65.32
334,50341.0,13489,96900.0,385.0,505.0,76.24
335,66518.0,13490,112300.0,850.0,1485.0,57.24
336,46833.0,13491,90600.0,2351.0,3527.0,66.66
337,56888.0,13492,128100.0,8081.0,11381.0,71.0
338,43359.0,13493,76900.0,1361.0,2189.0,62.17
339,38942.0,13494,179200.0,312.0,348.0,89.66
340,45441.0,13495,93700.0,1435.0,2193.0,65.44
341,30886.0,13501,91500.0,23532.0,37228.0,63.21
342,40968.0,13502,92300.0,22218.0,34192.0,64.98
343,42064.0,13601,126800.0,24284.0,38257.0,63.48
344,56310.0,13602,-666666666.0,885.0,2942.0,30.08
345,37127.0,13603,237500.0,3701.0,9854.0,37.56
346,45154.0,13605,125600.0,3029.0,4744.0,63.85
347,63362.0,13606,113500.0,1956.0,2812.0,69.56
348,34764.0,13607,109300.0,1351.0,1860.0,72.63
349,55500.0,13608,101300.0,964.0,1601.0,60.21
350,50242.0,13612,136800.0,1975.0,2901.0,68.08
351,48125.0,13613,85600.0,1812.0,2587.0,70.04
352,30208.0,13614,77500.0,222.0,310.0,71.61
353,49861.0,13615,121800.0,716.0,1151.0,62.21
354,41602.0,13616,151100.0,1115.0,1937.0,57.56
355,48750.0,13617,114100.0,5901.0,11186.0,52.75
356,65878.0,13618,149000.0,1408.0,1717.0,82.0
357,45806.0,13619,110500.0,7617.0,11263.0,67.63
358,47022.0,13620,110300.0,1490.0,2201.0,67.7
359,44318.0,13621,70400.0,411.0,724.0,56.77
360,54447.0,13622,151500.0,1762.0,2679.0,65.77
361,59375.0,13623,81000.0,69.0,107.0,64.49
362,49872.0,13624,154000.0,4008.0,5693.0,70.4
363,46369.0,13625,113600.0,1395.0,1883.0,74.08
364,54769.0,13626,119800.0,1267.0,1845.0,68.67
365,38281.0,13628,100000.0,183.0,272.0,67.28
366,46429.0,13630,92200.0,1037.0,1510.0,68.68
367,55357.0,13633,75000.0,228.0,375.0,60.8
368,55208.0,13634,118000.0,2829.0,4108.0,68.87
369,47375.0,13635,60300.0,591.0,848.0,69.69
370,60208.0,13636,143800.0,194.0,292.0,66.44
371,43708.0,13637,142700.0,2139.0,4194.0,51.0
372,31094.0,13638,91200.0,265.0,411.0,64.48
373,42917.0,13639,44600.0,149.0,223.0,66.82
374,68646.0,13640,360400.0,146.0,188.0,77.66
375,37404.0,13641,196900.0,79.0,79.0,100.0
376,41381.0,13642,74600.0,7035.0,10231.0,68.76
377,-666666666.0,13643,-666666666.0,29.0,85.0,34.12
378,44342.0,13646,91300.0,1973.0,2978.0,66.25
379,48750.0,13647,-666666666.0,26.0,30.0,86.67
380,40352.0,13648,77700.0,1837.0,2619.0,70.14
381,38125.0,13650,130200.0,900.0,1246.0,72.23
382,80000.0,13651,370000.0,201.0,243.0,82.72
383,43561.0,13652,68300.0,997.0,1476.0,67.55
384,45958.0,13654,71700.0,1409.0,2256.0,62.46
385,39620.0,13655,97400.0,2069.0,3356.0,61.65
386,54971.0,13656,120900.0,1765.0,2734.0,64.56
387,50411.0,13658,76600.0,1482.0,2026.0,73.15
388,42386.0,13659,80800.0,346.0,523.0,66.16
389,44038.0,13660,76700.0,1497.0,2303.0,65.0
390,46019.0,13661,89600.0,1232.0,1891.0,65.15
391,43890.0,13662,82000.0,11901.0,16513.0,72.07
392,55625.0,13664,91700.0,399.0,580.0,68.79
393,30361.0,13665,114800.0,710.0,1344.0,52.83
394,28409.0,13666,26000.0,265.0,412.0,64.32
395,37546.0,13667,80900.0,2131.0,3249.0,65.59
396,39922.0,13668,79200.0,2135.0,3367.0,63.41
397,40122.0,13669,71400.0,12013.0,17287.0,69.49
398,41500.0,13670,70600.0,321.0,488.0,65.78
399,26289.0,13672,101000.0,457.0,595.0,76.81
400,41364.0,13673,113200.0,1372.0,2418.0,56.74
401,58571.0,13674,59300.0,157.0,182.0,86.26
402,-666666666.0,13675,-666666666.0,44.0,44.0,100.0
403,42039.0,13676,101000.0,6621.0,16200.0,40.87
404,32500.0,13677,-666666666.0,109.0,188.0,57.98
405,13485.0,13678,63800.0,154.0,248.0,62.1
406,49519.0,13679,160600.0,1119.0,1757.0,63.69
407,54583.0,13680,65000.0,687.0,1080.0,63.61
408,45000.0,13681,81900.0,474.0,769.0,61.64
409,65714.0,13682,121300.0,519.0,716.0,72.49
410,38958.0,13684,72200.0,700.0,987.0,70.92
411,62176.0,13685,166800.0,1651.0,2261.0,73.02
412,53750.0,13687,88000.0,434.0,548.0,79.2
413,38750.0,13690,56200.0,538.0,946.0,56.87
414,45500.0,13691,101900.0,2049.0,3058.0,67.0
415,75208.0,13692,350000.0,107.0,107.0,100.0
416,42344.0,13693,118400.0,485.0,572.0,84.79
417,50786.0,13694,108300.0,947.0,1305.0,72.57
418,65833.0,13695,124000.0,43.0,75.0,57.33
419,-666666666.0,13696,-666666666.0,41.0,41.0,100.0
420,37418.0,13697,82900.0,1583.0,2267.0,69.83
421,40655.0,13730,87200.0,2062.0,3102.0,66.47
422,39308.0,13731,168200.0,749.0,926.0,80.89
423,67437.0,13732,125100.0,5624.0,8365.0,67.23
424,46545.0,13733,94400.0,3839.0,5369.0,71.5
425,63180.0,13734,107700.0,1558.0,2417.0,64.46
426,52768.0,13736,98100.0,1586.0,2445.0,64.87
427,44265.0,13739,123600.0,722.0,969.0,74.51
428,38036.0,13740,206600.0,383.0,474.0,80.8
429,53420.0,13743,94400.0,2672.0,3742.0,71.41
430,68359.0,13744,102700.0,899.0,1372.0,65.52
431,53077.0,13746,84300.0,1730.0,2307.0,74.99
432,52026.0,13748,97800.0,2744.0,3832.0,71.61
433,38456.0,13750,98900.0,635.0,872.0,72.82
434,39018.0,13751,105600.0,106.0,147.0,72.11
435,50750.0,13752,168800.0,629.0,796.0,79.02
436,52892.0,13753,176200.0,3655.0,5809.0,62.92
437,40303.0,13754,92000.0,2502.0,3854.0,64.92
438,44083.0,13755,151200.0,1014.0,1580.0,64.18
439,40855.0,13756,89400.0,421.0,580.0,72.59
440,50739.0,13757,135800.0,768.0,1111.0,69.13
441,50417.0,13760,114500.0,31411.0,44383.0,70.77
442,29342.0,13774,-666666666.0,37.0,72.0,51.39
443,47045.0,13775,155800.0,1105.0,1710.0,64.62
444,53125.0,13776,160200.0,396.0,545.0,72.66
445,45720.0,13777,79700.0,446.0,664.0,67.17
